"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111130453","GO:0061630","ubiquitin protein ligase activity",601,69,26.37,2.4e-13,"Molecular Functions",0.114808652246256,"Core: All Outliers"
"LOC111130486","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111130512","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130532","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130532","GO:0016887","ATPase activity",359,39,15.75,8.7e-05,"Molecular Functions",0.108635097493036,"Core: All Outliers"
"LOC111130568","GO:0003777","microtubule motor activity",76,12,3.33,0.00828,"Molecular Functions",0.157894736842105,"Core: All Outliers"
"LOC111130568","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130568","GO:0008017","microtubule binding",158,18,6.93,2e-04,"Molecular Functions",0.113924050632911,"Core: All Outliers"
"LOC111130582","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130699","GO:0003743","translation initiation factor activity",48,10,2.11,3.6e-05,"Molecular Functions",0.208333333333333,"Core: All Outliers"
"LOC111130699","GO:0071074","eukaryotic initiation factor eIF2 binding",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111130771","GO:0003735","structural constituent of ribosome",174,22,7.63,8.1e-06,"Molecular Functions",0.126436781609195,"Core: All Outliers"
"LOC111130836","GO:0046961","proton-transporting ATPase activity, rotational mechanism",23,5,1.01,0.0028,"Molecular Functions",0.217391304347826,"Core: All Outliers"
"LOC111130885","GO:0004364","glutathione transferase activity",38,5,1.67,0.02431,"Molecular Functions",0.131578947368421,"Core: All Outliers"
"LOC111130951","GO:0051015","actin filament binding",117,16,5.13,5.2e-05,"Molecular Functions",0.136752136752137,"Core: All Outliers"
"LOC111131007","GO:0003729","mRNA binding",160,21,7.02,1e-04,"Molecular Functions",0.13125,"Core: All Outliers"
"LOC111131036","GO:0003743","translation initiation factor activity",48,10,2.11,3.6e-05,"Molecular Functions",0.208333333333333,"Core: All Outliers"
"LOC111131049","GO:0003735","structural constituent of ribosome",174,22,7.63,8.1e-06,"Molecular Functions",0.126436781609195,"Core: All Outliers"
"LOC111131147","GO:0004435","phosphatidylinositol phospholipase C activity",6,2,0.26,0.02564,"Molecular Functions",0.333333333333333,"Core: All Outliers"
"LOC111131147","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
