LOC111116264	GO:0005634; GO:0005737; GO:0008073; GO:0008073; GO:0045732
LOC111116587	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111116607	GO:0005515; GO:0015347; GO:0016020; GO:0016020; GO:0043252; GO:0055085; GO:0055085
LOC111116857	GO:0005515; GO:0008270
LOC111116971	GO:0003924; GO:0005525; GO:0006887; GO:0055037
LOC111117039	GO:0004198; GO:0004198; GO:0005737; GO:0006508; GO:0006508
LOC111117101	GO:0003994; GO:0005739; GO:0005829; GO:0006099; GO:0006101; GO:0051539
LOC111117256	GO:0038023
LOC111117358	GO:0005515; GO:0008270
LOC111117607	GO:0003723; GO:0005634; GO:0006357; GO:0043565; GO:0050684
LOC111117740	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117751	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117803	GO:0000124; GO:0003712; GO:0005515; GO:0005634; GO:0006281; GO:0006355; GO:0035267
LOC111117809	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111117812	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111117877	GO:0005813
LOC111117904	GO:0005515; GO:0005886; GO:0007411; GO:0030424; GO:0098609
LOC111117959	GO:0004930; GO:0004930; GO:0007166; GO:0007189; GO:0016020
LOC111117972	GO:0005885; GO:0005885; GO:0015629; GO:0015629; GO:0034314; GO:0034314; GO:0051015
LOC111117983	GO:0005509; GO:0005515
LOC111118011	GO:0003676; GO:0005634; GO:0006397; GO:0006511; GO:0008270; GO:0016567; GO:0061630
LOC111118045	GO:0007017; GO:0007017; GO:0030286; GO:0030286; GO:0045505; GO:0051959
LOC111118056	GO:0005737; GO:0005739; GO:0016226; GO:0016226; GO:0051537; GO:0097428
LOC111118071	GO:0003676; GO:0005737; GO:0008270
LOC111118106	GO:0005509; GO:0005737; GO:0016460; GO:0032036
LOC111118152	GO:0033179; GO:0046961; GO:1902600
LOC111118211	GO:0005643
LOC111118247	GO:0005829; GO:0006979; GO:0008379; GO:0019430; GO:0033554; GO:0042744; GO:0045454
LOC111118324	GO:0004360; GO:0004360; GO:0006002; GO:0006047; GO:0006487; GO:0097367; GO:1901137
LOC111118383	GO:0005515
LOC111118384	GO:0004791
LOC111118393	GO:0005515
LOC111118435	GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0005856; GO:0005886; GO:0005938; GO:0007015; GO:0007163; GO:0007264; GO:0008045; GO:0008360; GO:0019901; GO:0030865; GO:0031410; GO:0032956; GO:0042995
LOC111118490	GO:0003690; GO:0005634; GO:0006281; GO:0046403; GO:0046404
LOC111118539	GO:0000243; GO:0005634; GO:0006397; GO:0008187; GO:0016607; GO:0030628; GO:0071004; GO:0089701
LOC111118544	GO:0005515
LOC111118569	GO:0005975; GO:0009045; GO:0009045
LOC111118666	GO:0005262; GO:0005743; GO:0015292; GO:0036444; GO:0051560; GO:1990246
LOC111118667	GO:0005783; GO:0005801; GO:0006621; GO:0006621; GO:0006888; GO:0016020; GO:0016020; GO:0046923; GO:0046923
LOC111118710	GO:0003677; GO:0003677; GO:0003723; GO:0003723; GO:0005634; GO:0005634; GO:0006351; GO:0006351; GO:0045893; GO:0045893
